,director_name,imdb_score,movie_title
2765,John Blanchard,9.5,Towering Inferno?            
1937,Frank Darabont,9.3,The Shawshank Redemption?
3466,Francis Ford Coppola,9.2,The Godfather?
4409,John Stockwell,9.1,Kickboxer: Vengeance?
2824,,9.1,Dekalog?            
3207,,9.1,Dekalog?            
66,Christopher Nolan,9.0,The Dark Knight?
2837,Francis Ford Coppola,9.0,The Godfather: Part II?
3481,,9.0,Fargo?            
339,Peter Jackson,8.9,The Lord of the Rings: The Return of the King?
4822,Sidney Lumet,8.9,12 Angry Men?
4498,Sergio Leone,8.9,"The Good, the Bad and the Ugly?"
3355,Quentin Tarantino,8.9,Pulp Fiction?
1874,Steven Spielberg,8.9,Schindler's List?
683,David Fincher,8.8,Fight Club?
836,Robert Zemeckis,8.8,Forrest Gump?
270,Peter Jackson,8.8,The Lord of the Rings: The Fellowship of the Ring?
2051,Irvin Kershner,8.8,Star Wars: Episode V - The Empire Strikes Back?
97,Christopher Nolan,8.8,Inception?
1842,,8.8,It's Always Sunny in Philadelphia?            
459,,8.8,Daredevil?            
1620,,8.7,Friday Night Lights?            
1818,,8.7,The Honeymooners?            
654,Lana Wachowski,8.7,The Matrix?
4468,Sadyk Sher-Niyaz,8.7,Queen of the Mountains?
3867,Milos Forman,8.7,One Flew Over the Cuckoo's Nest?
340,Peter Jackson,8.7,The Lord of the Rings: The Two Towers?
3024,George Lucas,8.7,Star Wars: Episode IV - A New Hope?
4747,Akira Kurosawa,8.7,Seven Samurai?
4924,Cary Bell,8.7,Butterfly Girl?
4372,Mitchell Altieri,8.7,A Beginner's Guide to Snuff?
3579,,8.7,Gomorrah?            
1903,Martin Scorsese,8.7,Goodfellas?
4029,Fernando Meirelles,8.7,City of God?
648,Steven Spielberg,8.6,Saving Private Ryan?
1600,David Fincher,8.6,Se7en?
3175,Tony Kaye,8.6,American History X?
2373,Hayao Miyazaki,8.6,Spirited Away?
1499,,8.6,Luther?            
404,,8.6,Hannibal?            
2158,Jonathan Demme,8.6,The Silence of the Lambs?
4049,Frank Capra,8.6,It's a Wonderful Life?
96,Christopher Nolan,8.6,Interstellar?
4526,Michael Curtiz,8.6,Casablanca?
3766,Sergio Leone,8.6,Once Upon a Time in the West?
4427,Charles Chaplin,8.6,Modern Times?
3816,Mike Mayhall,8.6,Running Forever?
3592,Bryan Singer,8.6,The Usual Suspects?
2952,,8.6,Spartacus: War of the Damned?            
3277,Ridley Scott,8.5,Alien?
3716,Christopher Nolan,8.5,Memento?
2363,Robert Zemeckis,8.5,Back to the Future?
288,James Cameron,8.5,Terminator 2: Judgment Day?
2152,Steven Spielberg,8.5,Raiders of the Lost Ark?
1448,Roman Polanski,8.5,The Pianist?
3,Christopher Nolan,8.5,The Dark Knight Rises?
3931,Ron Fricke,8.5,Samsara?
4921,Majid Majidi,8.5,Children of Heaven?
296,Quentin Tarantino,8.5,Django Unchained?
361,Martin Scorsese,8.5,The Departed?
4869,,8.5,Happy Valley?            
3870,Raja Menon,8.5,Airlift?
4028,Damien Chazelle,8.5,Whiplash?
509,Roger Allers,8.5,The Lion King?
1664,,8.5,Entourage?            
1233,Christopher Nolan,8.5,The Prestige?
4359,Stanley Kubrick,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?
1035,,8.5,Outlander?            
712,Frank Darabont,8.5,The Green Mile?
